	-	-	-	-	-	-
وزارت	Organization(*	1(*	1(*	Entity(*	NO(*	(*
نفت	Organization*)	1*)	1*)	Entity*)	NO*)	*)
فکري	-	-	-	-	-	-
به	-	-	-	-	-	-
حال	-	-	-	-	-	-
عطش	-	-	-	-	-	-
تقاضا	-	-	-	-	-	-
کند	-	-	-	-	-	
تازه	-	-	-	-	-	-
ترين	-	-	-	-	-	-
خبرهاي	-	-	-	-	-	-
دريافتي	-	-	-	-	-	-
از	-	-	-	-	-	-
بورس	Organization(*	3(*	3(*	Entity(*	NO(*	(*
انرژي	Organization*)	3*)	3*)	Entity*)	NO*)	*)
حاکي	-	-	-	-	-	-
از	-	-	-	-	-	-
افزايش	-	-	-	-	-	-
قابل	-	-	-	-	-	-
تامل	-	-	-	-	-	-
تعداد	-	-	-	-	-	-
خريداران	-	-	-	-	-	-
خارجي	-	-	-	-	-	-
فعال	-	-	-	-	-	-
در	-	-	-	-	-	-
بازار	-	-	-	-	-	-
فيزيکي	-	-	-	-	-	-
بورس	Organization(*	4(*	3(*	Entity(*	NO(*	(*
انرژي	*	*	*	*	*	*
ايران	Organization*)	4*)	3*)	Entity*)	NO*)	*)
در	-	-	-	-	-	-
سال	-	-	-	-	-	-
جاري	-	-	-	-	-	-
دارد	-	-	-	-	-	-
.	-	-	-	-	-	-

به	-	-	-	-	-	-
گزارش	-	-	-	-	-	-
فارس	Organization	5	5	Entity	NO	
؛	-	-	-	-	-	-
تعداد	-	-	-	-	-	-
خريداران	-	-	-	-	-	-
خارجي	-	-	-	-	-	-
در	-	-	-	-	-	-
تالار	-	-	-	-	-	-
سبز	-	-	-	-	-	-
ايران	-	-	-	-	-	-
،	-	-	-	-	-	-
در	-	-	-	-	-	-
حالي	-	-	-	-	-	-
به	-	-	-	-	-	-
51	-(*	6(*	6(*	Other(*	YES(*	(*
خريدار	-*)	6*)	6*)	Other*)	YES*)	*)
رسيده	-	-	-	-	-	-
که	-	-	-	-	-	-
از	-	-	-	-	-	-
اين	-(*	7(*	6(*	Other(*	YES(*	(*
تعداد	-*)	7*)	6*)	Other*)	YES*)	*)
29	-	-	-	-	-	
خريدار	-	-	-	-	-	
از	-	-	-	-	-	-
ابتداي	-	-	-	-	-	-
امسال	-	-	-	-	-	-
تا	-	-	-	-	-	-
ابتداي	-	-	-	-	-	-
دي	-	-	-	-	-	-
ماه	-	-	-	-	-	-
به	-	-	-	-	-	-
بورس	-	-	-	-	-	-
انرژي	-	-	-	-	-	-
وارد	-	-	-	-	-	-
شده	-	-	-	-	-	-
اند	-	-	-	-	-	
.	-	-	-	-	-	-

در	-	-	-	-	-	-
جدول	-	-	-	-	-	
زير	-	-	-	-	-	-
به	-	-	-	-	-	-
تفکيک	-	-	-	-	-	-
سال	-	-	-	-	-	-
تعداد	-	-	-	-	-	-
خريداران	-	-	-	-	-	-
خارجي	-	-	-	-	-	-
در	-	-	-	-	-	-
4	-	-	-	-	-	-
سال	-	-	-	-	-	-
اخير	-	-	-	-	-	-
را	-	-	-	-	-	-
نشان	-	-	-	-	-	-
مي	-	-	-	-	-	-
دهد	-	-	-	-	-	
:	-	-	-	-	-	-

به	-	-	-	-	-	-
گزارش	-	-	-	-	-	-
