	-	-	-	-	-	-	
کارکرد	-(*	26(*	26(*	Other(*	NO(*	(*	
نامناسب	*	*	*	*	*	*	
رسانه	-*)	26*)	26*)	Other*)	NO*)	*)	
موجب	-	-	-	-	-	-	
ريشه	-(*	29(*	29(*	Other(*	NO(*	(*	
دار	*	*	*	*	*	*	
شدن	*	*	*	*	*	*	
آسيب	*	*	*	*	*	*	
هاي	*	*	*	*	*	*	
اجتماعي	-*)	29*)	29*)	Other*)	NO*)	*)	
مي	-	-	-	-	-	-	
شود	-	-	-	-	-	-	
به	-	-	-	-	-	-	
گزارش	-	-	-	-	-	-	
خبرنگار	-	-	-	-	-	-	
مهر	-	-	-	-	-	-	
،	-	-	-	-	-	-	
سومين	-(*	1(*	1(*	Other(*	NO(*	(*	
جلسه	*	*	*	*	*	*	
مزيت	*	*	*	*	*	*	
هاي	*	*	*	*	*	*	
نسبي	*	*	*	*	*	*	
قسمت	*	*	*	*	*	*	
هاي	*	*	*	*	*	*	
مختلف	*	*	*	*	*	*	
سازمان	*	*	*	*	*	*	
تبليغات	*	*	*	*	*	*	
در	*	*	*	*	*	*	
خصوص	*	*	*	*	*	*	
کاهش	*	*	*	*	*	*	
آسيب	*	*	*	*	*	*	
هاي	*	*	*	*	*	*	
اجتماعي	-*)	1*)	1*)	Other*)	NO*)	*)	
در	-	-	-	-	-	-	
جلسه	-	-	-	-	-	-	
اي	-	-	-	-	-	-	
با	-	-	-	-	-	-	
حضور	-	-	-	-	-	-	
دکتر	-(*	2(*	2(*	Other(*	YES(*	(*	
خاموشي	*	*	*	*	*	*	
رئيس	*	*	*	*	*	*	
سازمان	*	*	*	*	*	*	
تبليغات	*	*	*	*	*	*	
اسلامي	-*)	3*)	2*)	Other*)	YES*)	*)	
،	-	-	-	-	-	-	
مورد	-	-	-	-	-	-	
بررسي	-	-	-	-	-	-	
قرار	-	-	-	-	-	-	
گرفت	-	-	-	-	-	-	
.	-	-	-	-	-	-	

در	-	-	-	-	-	-	
اين	-(*	4(*	1(*	Other(*	NO(*	(*	
جلسه	-*)	4*)	1*)	Other*)	NO*)	*)	
به	-	-	-	-	-	-	
بررسي	-	-	-	-	-	-	
مزيت	-(*	12(*	12(*	Other(*	NO(*	(*	
