استانداري	Organization(*	1(*	1(*	Entity(*	NO(*	(*	
تهران	Organization*)	1*)	1*)	Entity*)	NO*)	*)	
در	-	-	-	-	-	-	
برگزاري	-	-	-	-	-	-	
مسابقات	-(*	2(*	5(*	Other(*	NO(*	(*	
بين	*	*	*	*	*	*	
المللي	*	*	*	*	*	*	
قرآن	-*)	2*)	5*)	Other*)	NO*)	*)	
مشارکت	-	-	-	-	-	-	
مي	-	-	-	-	-	-	
کند	-	-	-	-	-	-	
به	-	-	-	-	-	-	
گزارش	-	-	-	-	-	-	
خبرگزاري	-	-	-	-	-	-	
مهر	-	-	-	-	-	-	
،	-	-	-	-	-	-	
سيد	-(*	3(*	3(*	Other(*	YES(*	(*	
مهدي	*	*	*	*	*	*	
شرفي	-*)	3*)	3*)	Other*)	YES*)	*)	
در	-	-	-	-	-	-	
تشريح	-	-	-	-	-	-	
برنامه	-	-	-	-	-	-	
ها	-	-	-	-	-	-	
و	-	-	-	-	-	-	
فعاليت	-	-	-	-	-	-	
هاي	-	-	-	-	-	-	
کميته	-(*	4(*	4(*	Other(*	NO(*	(*	
طه	-*)	4*)	4*)	Other*)	NO*)	*)	
در	-	-	-	-	-	-	
اين	-	-	-	-	-	-	
سي	-(*	5(*	5(*	Other(*	NO(*	(*	
و	*	*	*	*	*	*	
دومين	*	*	*	*	*	*	
دوره	*	*	*	*	*	*	
مسابقات	*	*	*	*	*	*	
بين	*	*	*	*	*	*	
لمللي	*	*	*	*	*	*	
قرآن	-*)	5*)	5*)	Other*)	NO*)	*)	
اظهارداشت	-	-	-	-	-	-	
:	-	-	-	-	-	-	
امسال	-	-	-	-	-	-	
اين	-(*	6(*	4(*	Other(*	NO(*	(*	
کميته	-*)	6*)	4*)	Other*)	NO*)	*)	
به	-	-	-	-	-	-	
رياست	-	-	-	-	-	-	
حجت	-	-	-	-	-	-	
الاسلام	-	-	-	-	-	-	
محمد	-(*	7(*	7(*	Other(*	YES(*	(*	
زاده	-*)	7*)	7*)	Other*)	YES*)	*)	
،	-	-	-	-	-	-	
مديرکل	-(*	8(*	7(*	Other(*	YES(*	(*	
اوقاف	*	*	*	*	*	*	
و	*	*	*	*	*	*	
امور	*	*	*	*	*	*	
خيريه	*	*	*	*	*	*	
استان	*	*	*	*	*	*	
تهران	-*)	8*)	7*)	Other*)	YES*)	*)	
در	-	-	-	-	-	-	
قالب	-	-	-	-	-	-	
سه	-	-	-	-	-	-	
کارگروه	-	-	-	-	-	-	
؛	-	-	-	-	-	-	
تبليغات	-	-	-	-	-	-	
،	-	-	-	-	-	-	
مدعوين	-	-	-	-	-	-	
و	-	-	-	-	-	-	
پشتيباني	-	-	-	-	-	-	
تشکيل	-	-	-	-	-	-	
شده	-	-	-	-	-	-	
است	-	-	-	-	-	-	
.	-	-	-	-	-	-	

وي	-	9	3	PRO	YES		
اضافه	-	-	-	-	-	-	
کرد	-	-	-	-	-	-	
:	-	-	-	-	-	-	
در	-	-	-	-	-	-	
مسابقات	-(*	10(*	5(*	Other(*	NO(*	(*	
امسال	-*)	10*)	5*)	Other*)	NO*)	*)	
هماهنگي	-	-	-	-	-	-	
هاي	-	-	-	-	-	-	
برنامه	-	-	-	-	-	-	
ها	-	-	-	-	-	-	
و	-	-	-	-	-	-	
فعاليت	-	-	-	-	-	-	
هاي	-	-	-	-	-	-	
مورد	-	-	-	-	-	-	
