پورکياني	Person	1	1	Entity	YES		
:	-	-	-	-	-	-	
هيچ	-	-	-	-	-	-	
نظري	-	-	-	-	-	-	
در	-	-	-	-	-	-	
مورد	-	-	-	-	-	-	
محل	-	-	-	-	-	-	
برگزاري	-	-	-	-	-	-	
بازي	-	-	-	-	-	-	
با	-	-	-	-	-	-	
استقلال	Organization(*	2(*	2(*	Entity(*	NO(*	(*	
اهواز	Organization*)	2*)	2*)	Entity*)	NO*)	*)	
نداريم	-	-	-	-	-	-	
قائم‌مقام	Person(*	3(*	1(*	Entity(*	YES(*	(*	
باشگاه	*	*	*	*	*	*	
استقلال	*	*	*	*	*	*	
خوزستان	Person*)	3*)	1*)	Entity*)	YES*)	*)	
گفت	-	-	-	-	-	-	
:	-	-	-	-	-	-	
در	-	-	-	-	-	-	
مورد	-	-	-	-	-	-	
محل	-	-	-	-	-	-	
برگزاري	-	-	-	-	-	-	
بازي	-	-	-	-	-	-	
با	-	-	-	-	-	-	
استقلال	Organization(*	4(*	2(*	Entity(*	NO(*	(*	
اهواز	Organization*)	4*)	2*)	Entity*)	NO*)	*)	
هيچ	-	-	-	-	-	-	
نظري	-	-	-	-	-	-	
نداريم	-	-	-	-	-	-	
و	-	-	-	-	-	-	
ميزبان	-	-	-	-	-	-	
هر	-(*	5(*	19(*	Other(*	NO(*	(*	
زمين	-*)	5*)	19*)	Other*)	NO*)	*)	
را	-	-	-	-	-	-	
که	-	-	-	-	-	-	
معرفي	-	-	-	-	-	-	
کند	-	-	-	-	-	-	
در	-	-	-	-	-	-	
آن	-	6	19	PRO	NO		
بازي	-	-	-	-	-	-	
مي‌کنيم	-	-	-	-	-	-	
.	-	-	-	-	-	-	

به	-	-	-	-	-	-	
گزارش	-	-	-	-	-	-	
خبرگزاري	Organization(*	7(*	7(*	Entity(*	NO(*	(*	
فارس	Organization*)	7*)	7*)	Entity*)	NO*)	*)	
،	-	-	-	-	-	-	
استقلال	Organization(*	8(*	8(*	Entity(*	NO(*	(*	
خوزستان	Organization*)	8*)	8*)	Entity*)	NO*)	*)	
و	-	-	-	-	-	-	
استقلال	Organization(*	9(*	2(*	Entity(*	NO(*	(*	
اهواز	Organization*)	9*)	2*)	Entity*)	NO*)	*)	
روز	-	-	-	-	-	-	
جمعه	-	-	-	-	-	-	
در	-	-	-	-	-	-	
چارچوب	-	-	-	-	-	-	
هفته	-	-	-	-	-	-	
بيست	-	-	-	-	-	-	
و	-	-	-	-	-	-	
پنجم	-	-	-	-	-	-	
ليگ	-	-	-	-	-	-	
برتر	-	-	-	-	-	-	
فوتبال	-	-	-	-	-	-	
ايران	-	-	-	-	-	-	
به	-	-	-	-	-	-	
مصاف	-	-	-	-	-	-	
يکديگر	-	-	-	-	-	-	
