عاشورزاده	Person	1	1	Entity	YES		
:	-	-	-	-	-	-	
شرايط	-	-	-	-	-	-	
م	Organization	5	1	Other	YES		
عالي	-	-	-	-	-	-	
است	-	-	-	-	-	-	
به	-	-	-	-	-	-	
گزارش	-	-	-	-	-	-	
ورزش	-	-	-	-	-	-	
سه	-	-	-	-	-	-	
و	-	-	-	-	-	-	
به	-	-	-	-	-	-	
نقل	-	-	-	-	-	-	
از	-	-	-	-	-	-	
ايسنا	-	-	-	-	-	-	
،	-	-	-	-	-	-	
فرزان	-(*	3(*	1(*	Other(*	YES(*	(*	
عاشورزاده	*	*	*	*	*	*	
تکواندوکار	*	*	*	*	*	*	
ملي	*	*	*	*	*	*	
پوش	*	*	*	*	*	*	
کشور	-*)	4*)	1*)	Other*)	YES*)	*)	
که	-	-	-	-	-	-	
براي	-	-	-	-	-	-	
دريافت	-	-	-	-	-	-	
سکه	-(*	7(*	7(*	Other(*	NO(*	(*	
هاي	*	*	*	*	*	*	
خود	-*)	7*)	7*)	Other*)	NO*)	*)	
به	-	-	-	-	-	-	
صندوق	Organization(*	12(*	12(*	Entity(*	NO(*	(*	
اعتباري	*	*	*	*	*	*	
حمايت	*	*	*	*	*	*	
از	*	*	*	*	*	*	
قهرمانان	*	*	*	*	*	*	
و	*	*	*	*	*	*	
پيشکسوتان	*	*	*	*	*	*	
ورزش	*	*	*	*	*	*	
کشور	Organization*)	12*)	12*)	Entity*)	NO*)	*)	
مراجعه	-	-	-	-	-	-	
کرده	-	-	-	-	-	-	
بود	-	-	-	-	-	-	
در	-	-	-	-	-	-	
گفت	-	-	-	-	-	-	
و	-	-	-	-	-	-	
گويي	-	-	-	-	-	-	
اظهارکرد	-	-	-	-	-	-	
:	-	-	-	-	-	-	
اين	-(*	8(*	7(*	Other(*	NO(*	(*	
سکه	*	*	*	*	*	*	
ها	-*)	8*)	7*)	Other*)	NO*)	*)	
پاداش	-	-	-	-	-	-	
مدال	-(*	9(*	7(*	Other(*	NO(*	(*	
طلاي	*	*	*	*	*	*	
مسابقات	*	*	*	*	*	*	
قهرماني	*	*	*	*	*	*	
آسيايي	*	*	*	*	*	*	
2014	-*)	9*)	7*)	Other*)	NO*)	*)	
است	-	-	-	-	-	-	
.	-	-	-	-	-	-	

به	-	-	-	-	-	-	
هرحال	-	-	-	-	-	-	
پاداش	-	-	-	-	-	-	
نه	-	-	-	-	-	-	
تنها	-	-	-	-	-	-	
براي	-	-	-	-	-	-	
فرزان	-	10	1	Other	YES		
بلکه	-	-	-	-	-	-	
براي	-	-	-	-	-	-	
فرزان	-	-	-	-	-	-	
ها	-	-	-	-	-	-	
انگيزه	-	-	-	-	-	-	
مي	-	-	-	-	-	-	
شود	-	-	-	-	-	-	
.	-	-	-	-	-	-	

ما	-	-	-	-	-	-	
اين	-	-	-	-	-	-	
جايزه	-	-	-	-	-	-	
را	-	-	-	-	-	-	
گرفتيم	-	-	-	-	-	-	
و	-	-	-	-	-	-	
بخشي	-	-	-	-	-	-	
از	-	-	-	-	-	-	
مشکلات	-	-	-	-	-	-	
مان	-	-	-	-	-	-	
را	-	-	-	-	-	-	
حل	-	-	-	-	-	-	
مي	-	-	-	-	-	-	
کنيم	-	-	-	-	-	-	
.	-	-	-	-	-	-	

تکواندوکار	-(*	11(*	1(*	Other(*	YES(*	(*	
طلايي	*	*	*	*	*	*	
مسابقات	*	*	*	*	*	*	
قهرماني	*	*	*	*	*	*	
آسيا	*	*	*	*	*	*	
2014	-*)	11*)	1*)	Other*)	YES*)	*)	
با	-	-	-	-	-	-	
اشاره	-	-	-	-	-	-	
به	-	-	-	-	-	-	
نظم	-	-	-	-	-	-	
و	-	-	-	-	-	-	
ترتيب	-	-	-	-	-	-	
روند	-	-	-	-	-	-	
توزيع	-	-	-	-	-	-	
سکه	-	-	-	-	-	-	
ها	-	-	-	-	-	-	
اظهارکرد	-	-	-	-	-	-	
:	-	-	-	-	-	-	
صندوق	-	13	12	Other	NO		
