	-	-	-	-	-	-	
اصلاح	-(*	42(*	34(*	Other(*	YES(*	(*	
طلبان	-*)	42*)	34*)	Other*)	YES*)	*)	
از	-	-	-	-	-	-	
روحاني	Person	1	1	Entity	NO		
سهمي	-	-	-	-	-	-	
نمي‌خواهند	-	-	-	-	-	-	
نماينده	-(*	2(*	2(*	Other(*	NO(*	(*	
اصلاح‌طلب	*	*	*	*	*	*	
مجلس	-*)	2*)	2*)	Other*)	NO*)	*)	
بابيان	-	-	-	-	-	-	
اينکه	-	-	-	-	-	-	
اصلاح‌طلبان	-	43	34	Other	YES		
در	-	-	-	-	-	-	
مقام	-	-	-	-	-	-	
سهم‌خواهي	-	-	-	-	-	-	
از	-	-	-	-	-	-	
دولت	-	-	-	-	-	-	
نيستند	-	-	-	-	-	-	
،	-	-	-	-	-	-	
گفت	-	-	-	-	-	-	
:	-	-	-	-	-	-	
وظيفه	-	-	-	-	-	-	
خود	-	3	2	PRO	NO		
مي‌دانيم	-	-	-	-	-	-	
کمک‌حال	-	-	-	-	-	-	
دولت	-	-	-	-	-	-	
باشيم	-	-	-	-	-	-	
و	-	-	-	-	-	-	
تلاش	-	-	-	-	-	-	
کنيم	-	-	-	-	-	-	
دولت	-	-	-	-	-	-	
مشکلات	-	-	-	-	-	-	
را	-	-	-	-	-	-	
برطرف	-	-	-	-	-	-	
کند	-	-	-	-	-	-	
و	-	-	-	-	-	-	
به	-	-	-	-	-	-	
خواسته‌هاي	-	-	-	-	-	-	
مردم	-	-	-	-	-	-	
جامه	-	-	-	-	-	-	
عمل	-	-	-	-	-	-	
بپوشاند	-	-	-	-	-	-	
.	-	-	-	-	-	-	

	-	-	-	-	-	-	
به	-	-	-	-	-	-	
گزارش	-	-	-	-	-	-	
خبرنگار	-	-	-	-	-	-	
پارلماني	-	-	-	-	-	-	
خبرگزاري	-	-	-	-	-	-	
فارس	-	-	-	-	-	-	
،	-	-	-	-	-	-	
محمدرضا	Person(*	4(*	2(*	Entity(*	NO(*	(*	
تابش	*	*	*	*	*	*	
نماينده	*	*	*	*	*	*	
اصلاح‌طلب	*	*	*	*	*	*	
مجلس	*	*	*	*	*	*	
شوراي	*	*	*	*	*	*	
اسلامي	-*)	5*)	2*)	Other*)	NO*)	*)	
ظهر	-	-	-	-	-	-	
امروز	-	-	-	-	-	-	
پس	-	-	-	-	-	-	
از	-	-	-	-	-	-	
پايان	-	-	-	-	-	-	
صحن	-	-	-	-	-	-	
علني	-	-	-	-	-	-	
مجلس	-	-	-	-	-	-	
در	-	-	-	-	-	-	
جمع	-	-	-	-	-	-	
خبرنگاران	-	-	-	-	-	-	
در	-	-	-	-	-	-	
پاسخ	-	-	-	-	-	-	
